,Calibration,Driving,Transfer with driving ICA,Transfer,Transfer with threshold
61,0.8875,0.7446808511,0.7886399619,0.7901233545,0.8188976378
66,0.8625,0.8220338983,0.3347521666,0.3526664245,0.6168224299
126,0.6625,0.7446808511,0.681301415,0.5815820345,0.5764705882
280,0.55,0.6433566434,0.4251949318,0.441372549,0.4728682171
302,0.65,0.4913793103,0.1758838384,0.2082012566,0.2666666667
336,0.525,0.7125,0.05426356589,0.05363984674,0.3194444444
381,0.9,0.8534482759,0.7234626971,0.7341073828,0.7714285714
406,0.625,0.7050359712,0.5082255268,0.5210575929,0.6587301587
530,0.7875,0.4222222222,0.2251160913,0.3848975189,0.4814814815
587,0.65,0.5714285714,0.4489208196,0.4802928766,0.373015873
643,0.65,0.641509434,0.5361705877,0.5449506785,0.6979166667
656,0.75,0.5054945055,0.2467198978,0.4165677531,0.4756097561
682,0.5875,0.7099236641,0.2784313725,0.4279978461,0.5
744,0.675,0.6776859504,0.4388601816,0.5109875426,0.5229357798
812,0.8,0.7485380117,0.6543199692,0.6264381262,0.7337662338
840,0.625,0.622754491,0.3540523344,0.3899972652,0.3509933775
854,0.6625,0.6494845361,0.4419279907,0.500566343,0.4545454545
,,,,,
968,0.7125,0.5185185185,0.4154733054,0.3132623484,0.3571428571
986,0.6375,0.5561797753,0.36936589,0.4312955769,0.5403726708
